!amt_annotation_ids,!amt_worker_ids,orig_id,response,gold,start,end,event1,event2,text
1187,A11GX90QFWDLMM,5_5,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""green"">approved</font>","<font color=""orange"">produced</font>","<p>The White House <b><u><font color=""blue"">said</font></u></b> President Bush has <b><u><font color=""green"">approved</font></u></b> duty-free treatment for imports of certain types of watches that aren't <b><u><font color=""orange"">produced</font></u></b> in ``significant quantities'' in the U.S., the Virgin Islands and other U.S. possessions. <br></br>The action <b><u><font color=""red"">came</font></u></b> in response to a petition <b><u><font color=""purple"">filed</font></u></b> by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations. <br></br>Previously, watch imports were <b><u><font color=""brown"">denied</font></u></b> such duty-free treatment. <br></br>Timex had requested duty-free treatment for many types of watches, covered by 58 different U.S. tariff classifications. <br></br>The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches ``because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.'' <br></br>Timex is a major U.S. producer and seller of watches, including low-priced battery-operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences. <br></br>U.S. trade officials said the Philippines and Thailand would be the main beneficiaries of the president's action. <br></br>Imports of the types of watches that now will be eligible for duty-free treatment totaled about $37.3 million in 1988, a relatively small share of the $1.5 billion in U.S. watch imports that year, according to an aide to U.S. Trade Representative Carla Hills. <br></br></p>"
1188,A18941IO2ZZWW6,5_5,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""green"">approved</font>","<font color=""orange"">produced</font>","<p>The White House <b><u><font color=""blue"">said</font></u></b> President Bush has <b><u><font color=""green"">approved</font></u></b> duty-free treatment for imports of certain types of watches that aren't <b><u><font color=""orange"">produced</font></u></b> in ``significant quantities'' in the U.S., the Virgin Islands and other U.S. possessions. <br></br>The action <b><u><font color=""red"">came</font></u></b> in response to a petition <b><u><font color=""purple"">filed</font></u></b> by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations. <br></br>Previously, watch imports were <b><u><font color=""brown"">denied</font></u></b> such duty-free treatment. <br></br>Timex had requested duty-free treatment for many types of watches, covered by 58 different U.S. tariff classifications. <br></br>The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches ``because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.'' <br></br>Timex is a major U.S. producer and seller of watches, including low-priced battery-operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences. <br></br>U.S. trade officials said the Philippines and Thailand would be the main beneficiaries of the president's action. <br></br>Imports of the types of watches that now will be eligible for duty-free treatment totaled about $37.3 million in 1988, a relatively small share of the $1.5 billion in U.S. watch imports that year, according to an aide to U.S. Trade Representative Carla Hills. <br></br></p>"
1189,A3BD4NONKGONRM,5_5,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""green"">approved</font>","<font color=""orange"">produced</font>","<p>The White House <b><u><font color=""blue"">said</font></u></b> President Bush has <b><u><font color=""green"">approved</font></u></b> duty-free treatment for imports of certain types of watches that aren't <b><u><font color=""orange"">produced</font></u></b> in ``significant quantities'' in the U.S., the Virgin Islands and other U.S. possessions. <br></br>The action <b><u><font color=""red"">came</font></u></b> in response to a petition <b><u><font color=""purple"">filed</font></u></b> by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations. <br></br>Previously, watch imports were <b><u><font color=""brown"">denied</font></u></b> such duty-free treatment. <br></br>Timex had requested duty-free treatment for many types of watches, covered by 58 different U.S. tariff classifications. <br></br>The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches ``because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.'' <br></br>Timex is a major U.S. producer and seller of watches, including low-priced battery-operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences. <br></br>U.S. trade officials said the Philippines and Thailand would be the main beneficiaries of the president's action. <br></br>Imports of the types of watches that now will be eligible for duty-free treatment totaled about $37.3 million in 1988, a relatively small share of the $1.5 billion in U.S. watch imports that year, according to an aide to U.S. Trade Representative Carla Hills. <br></br></p>"
1190,A3PIXX8DQGYHGI,5_5,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,"<font color=""green"">approved</font>","<font color=""orange"">produced</font>","<p>The White House <b><u><font color=""blue"">said</font></u></b> President Bush has <b><u><font color=""green"">approved</font></u></b> duty-free treatment for imports of certain types of watches that aren't <b><u><font color=""orange"">produced</font></u></b> in ``significant quantities'' in the U.S., the Virgin Islands and other U.S. possessions. <br></br>The action <b><u><font color=""red"">came</font></u></b> in response to a petition <b><u><font color=""purple"">filed</font></u></b> by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations. <br></br>Previously, watch imports were <b><u><font color=""brown"">denied</font></u></b> such duty-free treatment. <br></br>Timex had requested duty-free treatment for many types of watches, covered by 58 different U.S. tariff classifications. <br></br>The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches ``because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands.'' <br></br>Timex is a major U.S. producer and seller of watches, including low-priced battery-operated watches assembled in the Philippines and other developing nations covered by the U.S. tariff preferences. <br></br>U.S. trade officials said the Philippines and Thailand would be the main beneficiaries of the president's action. <br></br>Imports of the types of watches that now will be eligible for duty-free treatment totaled about $37.3 million in 1988, a relatively small share of the $1.5 billion in U.S. watch imports that year, according to an aide to U.S. Trade Representative Carla Hills. <br></br></p>"
1191,A2Q547UYDL9SFU,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1192,A3MPXWFMR0Y2LK,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1193,AYHHOK9GDSWNH,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1194,A1UV8TD7KO88IM,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1195,A32IZC32FQKVRX,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1196,A11GX90QFWDLMM,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1197,A2KONK3TIL5KVX,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1198,A3PIXX8DQGYHGI,21_14,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1199,A18941IO2ZZWW6,21_14,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1200,A3BD4NONKGONRM,21_14,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1201,A2Q547UYDL9SFU,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1202,A3MPXWFMR0Y2LK,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1203,AYHHOK9GDSWNH,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1204,A1UV8TD7KO88IM,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1205,A32IZC32FQKVRX,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1206,A11GX90QFWDLMM,21_13,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1207,A2KONK3TIL5KVX,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1208,A3PIXX8DQGYHGI,21_13,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1209,A18941IO2ZZWW6,21_13,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1210,A3BD4NONKGONRM,21_13,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1211,A18WNE09USHJSG,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1212,A1123L7ANYUTG0,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1213,A3G0MGLBT484I1,173_0,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1214,AYHHOK9GDSWNH,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1215,A2O6FTKXAJGRSQ,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1216,A3PIXX8DQGYHGI,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1217,A18941IO2ZZWW6,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1218,AUPV5WJK85K4F,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1219,A3MPXWFMR0Y2LK,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1220,A11GX90QFWDLMM,173_0,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1221,A2O6FTKXAJGRSQ,120_10,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1222,AUPV5WJK85K4F,120_10,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1223,A1ZMDED6CWMABK,120_10,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1224,AV05VG3COGLW0,120_10,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1225,A3MPXWFMR0Y2LK,120_10,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1226,A11GX90QFWDLMM,120_10,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1227,A2DV8HITPQN4AJ,120_10,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1228,A3BD4NONKGONRM,120_10,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1229,A3PIXX8DQGYHGI,120_10,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1230,A18941IO2ZZWW6,120_10,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1231,A3G0MGLBT484I1,182_7,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1232,AM7BYJ804O5TF,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1233,A2O6FTKXAJGRSQ,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1234,A3OHQRF1MDQ99B,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1235,AUPV5WJK85K4F,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1236,A3MPXWFMR0Y2LK,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1237,A3PIXX8DQGYHGI,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1238,A11GX90QFWDLMM,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1239,A3BD4NONKGONRM,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1240,A18941IO2ZZWW6,182_7,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1241,A2G80S3EM9SDBD,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1242,A3G0MGLBT484I1,60_1,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1243,A2VKPMR5HCCZF5,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1244,AUPV5WJK85K4F,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1245,AYHHOK9GDSWNH,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1246,AK7YVYGMIF6T0,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1247,A1UV8TD7KO88IM,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1248,A3PIXX8DQGYHGI,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1249,A11GX90QFWDLMM,60_1,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1250,A18941IO2ZZWW6,60_1,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1251,AYHHOK9GDSWNH,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1252,A2G80S3EM9SDBD,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1253,A3G0MGLBT484I1,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1254,A7R1L4ZYYPOZM,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1255,A3MPXWFMR0Y2LK,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1256,A1KFIQBETMB81I,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1257,A11GX90QFWDLMM,21_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1258,A2KONK3TIL5KVX,21_0,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1259,A18941IO2ZZWW6,21_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1260,A3PIXX8DQGYHGI,21_0,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1261,AYHHOK9GDSWNH,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1262,A2G80S3EM9SDBD,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1263,A3G0MGLBT484I1,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1264,A7R1L4ZYYPOZM,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1265,A3MPXWFMR0Y2LK,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1266,A1KFIQBETMB81I,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1267,A11GX90QFWDLMM,21_2,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1268,A2KONK3TIL5KVX,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1269,A18941IO2ZZWW6,21_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1270,A3PIXX8DQGYHGI,21_2,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1271,A2Q547UYDL9SFU,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1272,A3MPXWFMR0Y2LK,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1273,AYHHOK9GDSWNH,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1274,A1UV8TD7KO88IM,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1275,A32IZC32FQKVRX,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1276,A11GX90QFWDLMM,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1277,A2KONK3TIL5KVX,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1278,A3PIXX8DQGYHGI,22_1,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1279,A18941IO2ZZWW6,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1280,A3BD4NONKGONRM,22_1,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1281,AK7YVYGMIF6T0,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1282,A3JWUNYRV5KTUS,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1283,A3MPXWFMR0Y2LK,147_20,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1284,A1KFIQBETMB81I,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1285,AZ37E749R4SUA,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1286,A2DTM58I82M96Y,147_20,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1287,A11GX90QFWDLMM,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1288,A1PBRFFOTO5ZU6,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1289,A3PIXX8DQGYHGI,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1290,A18941IO2ZZWW6,147_20,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1291,A2O6FTKXAJGRSQ,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1292,AUPV5WJK85K4F,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1293,A1ZMDED6CWMABK,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1294,AV05VG3COGLW0,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1295,A3MPXWFMR0Y2LK,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1296,A11GX90QFWDLMM,120_9,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1297,A2DV8HITPQN4AJ,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1298,A3BD4NONKGONRM,120_9,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1299,A3PIXX8DQGYHGI,120_9,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1300,A18941IO2ZZWW6,120_9,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1301,AEX5NCH03LWSG,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1302,AEU1NROWHLIJF,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1303,A18WNE09USHJSG,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1304,A2G80S3EM9SDBD,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1305,AYHHOK9GDSWNH,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1306,A3G0MGLBT484I1,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1307,A5C6BAAHFTJFP,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1308,AUPV5WJK85K4F,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1309,A11GX90QFWDLMM,128_8,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1310,A3PIXX8DQGYHGI,128_8,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1311,A3G0MGLBT484I1,94_2,before,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1312,A1AML5YZXW4FIS,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1313,AM7BYJ804O5TF,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1314,A1GR4JB3DODIQ1,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1315,AUPV5WJK85K4F,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1316,AYHHOK9GDSWNH,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1317,A32IZC32FQKVRX,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1318,A3PIXX8DQGYHGI,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1319,A11GX90QFWDLMM,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1320,A18941IO2ZZWW6,94_2,after,after,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1321,A2O6FTKXAJGRSQ,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1322,AUPV5WJK85K4F,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1323,A1ZMDED6CWMABK,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1324,AV05VG3COGLW0,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1325,A3MPXWFMR0Y2LK,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1326,A11GX90QFWDLMM,121_2,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1327,A2DV8HITPQN4AJ,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1328,A3BD4NONKGONRM,121_2,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1329,A3PIXX8DQGYHGI,121_2,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1330,A18941IO2ZZWW6,121_2,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1331,AA5CLQLMVT5GA,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1332,A1KFIQBETMB81I,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1333,A13PCLSK1JA8QL,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1334,AUPV5WJK85K4F,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1335,A11GX90QFWDLMM,71_3,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1336,A3MPXWFMR0Y2LK,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1337,AK7YVYGMIF6T0,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1338,AYHHOK9GDSWNH,71_3,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1339,A3PIXX8DQGYHGI,71_3,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1340,A18941IO2ZZWW6,71_3,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1341,AA5CLQLMVT5GA,71_4,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1342,A1KFIQBETMB81I,71_4,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1343,A13PCLSK1JA8QL,71_4,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1344,AUPV5WJK85K4F,71_4,before,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
1345,A11GX90QFWDLMM,71_4,after,before,Mon Mar 25 07:39:42 PDT 2019,Mon Mar 25 07:41:05 PDT 2019,,,
